filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
7a1a5e02-78f5-4671-807e-2e10bc4e855b.fast5	7a1a5e02-78f5-4671-807e-2e10bc4e855b	e3690464147f831e944be7d71be5c407b681cbb7	0	482	2	18699.797250	46.924500	37539	TRUE	18699.813500	37526	46.908250	23642	10.589640	0.000000	74.565598	9.503459	75.506493	9.731720
ae319043-2fbc-4a27-aed1-754be0ee8543.fast5	ae319043-2fbc-4a27-aed1-754be0ee8543	e3690464147f831e944be7d71be5c407b681cbb7	0	2791	3	18658.599250	8.655000	6924	TRUE	18658.784250	6776	8.470000	4231	11.791037	0.000000	72.006973	9.503459	70.655258	9.580843
fbf224bb-6def-44a3-ac1b-f172e3a696fb.fast5	fbf224bb-6def-44a3-ac1b-f172e3a696fb	e3690464147f831e944be7d71be5c407b681cbb7	0	1282	4	18620.435500	55.778500	44622	TRUE	18620.554250	44527	55.659750	28623	9.335548	0.000000	76.758705	10.234494	76.098694	10.258689
f6816702-de89-46c0-b740-50cbd278ce0f.fast5	f6816702-de89-46c0-b740-50cbd278ce0f	e3690464147f831e944be7d71be5c407b681cbb7	0	2925	2	18642.826000	81.802500	65442	TRUE	18642.871000	65406	81.757500	44591	10.838915	0.000000	78.586296	9.868977	76.995728	10.625760
7306ed81-a31f-40f6-900a-b92033aa235e.fast5	7306ed81-a31f-40f6-900a-b92033aa235e	e3690464147f831e944be7d71be5c407b681cbb7	0	1417	2	18687.427250	52.361750	41889	TRUE	18687.486000	41842	52.303000	28760	11.453373	0.000000	77.489738	10.234494	76.695564	10.941667
56078d68-f3b2-419e-80ae-4c6b002d05d4.fast5	56078d68-f3b2-419e-80ae-4c6b002d05d4	e3690464147f831e944be7d71be5c407b681cbb7	0	1586	2	18710.619000	23.285500	18628	TRUE	18710.767750	18509	23.136750	11781	13.532908	0.000000	78.951813	10.600012	78.514343	10.730037
19ee0e42-3d2c-4269-85c5-43b9d28617fc.fast5	19ee0e42-3d2c-4269-85c5-43b9d28617fc	e3690464147f831e944be7d71be5c407b681cbb7	0	1359	4	18728.031250	1.578750	1263	TRUE	18728.122500	1190	1.487500	867	9.948392	0.000000	77.489738	10.600012	77.297089	10.709099
281f8ac0-5236-4d35-bf61-c9538358b550.fast5	281f8ac0-5236-4d35-bf61-c9538358b550	e3690464147f831e944be7d71be5c407b681cbb7	0	2863	2	18619.515250	39.674000	31739	TRUE	18619.565250	31699	39.624000	20936	8.608729	0.000000	76.758705	9.503459	76.396545	9.712731
740e5c6c-b592-4240-a2ee-4552894201cd.fast5	740e5c6c-b592-4240-a2ee-4552894201cd	e3690464147f831e944be7d71be5c407b681cbb7	0	383	2	18622.112250	76.716000	61372	TRUE	18622.169750	61326	76.658500	48640	8.161199	0.000000	70.179390	8.772424	70.931786	9.524869
fad57f7a-7656-497a-8d88-a3f6449fd598.fast5	fad57f7a-7656-497a-8d88-a3f6449fd598	e3690464147f831e944be7d71be5c407b681cbb7	0	1127	1	18584.270000	87.985500	70388	TRUE	18584.338750	70333	87.916750	45687	11.459496	0.000000	76.758705	9.868977	75.802025	9.599575
c31c192b-ba17-4d09-90c6-8781d624e1a9.fast5	c31c192b-ba17-4d09-90c6-8781d624e1a9	e3690464147f831e944be7d71be5c407b681cbb7	0	2556	2	18600.910250	67.965000	54372	TRUE	18601.036500	54271	67.838750	35319	10.875094	0.000000	78.951813	10.234494	76.995728	9.943062
7120eff2-6810-4b60-9bd5-c07ee1718f1d.fast5	7120eff2-6810-4b60-9bd5-c07ee1718f1d	e3690464147f831e944be7d71be5c407b681cbb7	0	2540	1	18618.083250	81.053500	64842	TRUE	18618.454500	64545	80.682250	41124	10.858990	0.000000	69.813873	9.137941	69.288658	9.450747
fe01e79a-f220-4ca6-9f93-607c6c3fba1b.fast5	fe01e79a-f220-4ca6-9f93-607c6c3fba1b	e3690464147f831e944be7d71be5c407b681cbb7	0	335	1	18711.708500	31.433250	25146	TRUE	18711.937250	24963	31.204500	17080	9.784920	0.000000	78.220779	9.868977	76.396545	10.461022
66ff283b-43f1-4ef6-849f-63f648e28f44.fast5	66ff283b-43f1-4ef6-849f-63f648e28f44	e3690464147f831e944be7d71be5c407b681cbb7	0	2882	3	18700.748500	23.298000	18638	TRUE	18701.324750	18177	22.721750	11264	11.189852	0.000000	80.048363	10.234494	80.062904	10.420238
6c33dcd3-83c4-4313-aede-7a3d6fd85f6e.fast5	6c33dcd3-83c4-4313-aede-7a3d6fd85f6e	e3690464147f831e944be7d71be5c407b681cbb7	0	2362	2	18631.180750	60.210000	48168	TRUE	18632.080750	47448	59.310000	30910	10.414736	0.000000	73.469048	9.137941	71.767914	9.827221
6a79734f-79d6-4857-bee4-0ffcc5b4f365.fast5	6a79734f-79d6-4857-bee4-0ffcc5b4f365	e3690464147f831e944be7d71be5c407b681cbb7	0	791	2	18636.691250	44.057250	35245	TRUE	18636.822500	35140	43.926000	25129	9.654820	0.000000	77.855255	10.234494	78.208229	10.198754
47778565-2771-4ba1-af4a-780d78d62868.fast5	47778565-2771-4ba1-af4a-780d78d62868	e3690464147f831e944be7d71be5c407b681cbb7	0	2174	4	18679.867750	31.332750	25066	TRUE	18679.887750	25050	31.312750	15598	10.622085	0.000000	76.758705	10.600012	76.396545	10.298841
ac4c6ba2-2a14-4084-9a9e-2444bd2a4ffc.fast5	ac4c6ba2-2a14-4084-9a9e-2444bd2a4ffc	e3690464147f831e944be7d71be5c407b681cbb7	0	976	2	18602.164750	66.103250	52882	TRUE	18602.274750	52794	65.993250	35802	8.811876	0.000000	70.544907	8.772424	70.379791	9.142105
4a0e3796-53a9-4bca-a59b-501c02aeeb82.fast5	4a0e3796-53a9-4bca-a59b-501c02aeeb82	e3690464147f831e944be7d71be5c407b681cbb7	0	458	1	18634.212000	24.566250	19653	TRUE	18634.463250	19452	24.315000	14071	9.971729	0.000000	78.586296	9.868977	79.130135	10.099642
4c4f7d50-d0ad-4dbd-9b77-9042c6bb6c5e.fast5	4c4f7d50-d0ad-4dbd-9b77-9042c6bb6c5e	e3690464147f831e944be7d71be5c407b681cbb7	0	2293	2	18701.396500	28.372000	22697	TRUE	18701.690250	22462	28.078250	16148	10.263281	0.000000	75.662155	9.868977	74.918900	10.001493
769aca7b-e1a1-47ed-8fed-49b25a5382aa.fast5	769aca7b-e1a1-47ed-8fed-49b25a5382aa	e3690464147f831e944be7d71be5c407b681cbb7	0	2095	2	18669.256250	17.113500	13690	TRUE	18669.428750	13552	16.941000	9897	11.355056	0.000000	79.682846	9.868977	78.821617	10.963058
4d78f7ec-4a91-4093-90a4-2288637edc3e.fast5	4d78f7ec-4a91-4093-90a4-2288637edc3e	e3690464147f831e944be7d71be5c407b681cbb7	0	53	4	18633.891500	21.765000	17412	TRUE	18633.917750	17391	21.738750	11495	9.658220	0.000000	76.393188	9.868977	76.098694	10.751014
7948ac03-72d3-4a18-93f3-e5c7891f2622.fast5	7948ac03-72d3-4a18-93f3-e5c7891f2622	e3690464147f831e944be7d71be5c407b681cbb7	0	1855	1	18685.591250	29.283000	23426	TRUE	18685.652500	23377	29.221750	16010	11.434992	0.000000	81.875954	10.234494	81.641983	11.113974
7ff1b574-b6cb-473f-855f-06f66df057a3.fast5	7ff1b574-b6cb-473f-855f-06f66df057a3	e3690464147f831e944be7d71be5c407b681cbb7	0	2992	2	18668.932000	37.142000	29713	TRUE	18669.133250	29552	36.940750	19973	8.544418	0.000000	69.813873	8.772424	69.018517	9.142105
256705f3-f9b7-46d6-a453-73421c4dee9e.fast5	256705f3-f9b7-46d6-a453-73421c4dee9e	e3690464147f831e944be7d71be5c407b681cbb7	0	2937	2	18622.816250	63.207250	50565	TRUE	18622.901250	50497	63.122250	34450	11.562552	0.000000	75.296638	9.868977	74.918900	10.079936
b0fe044c-3570-44b0-916c-13d8c928341f.fast5	b0fe044c-3570-44b0-916c-13d8c928341f	e3690464147f831e944be7d71be5c407b681cbb7	0	1686	2	18682.208250	46.283000	37026	TRUE	18682.534500	36765	45.956750	24944	10.602384	0.000000	78.220779	9.868977	77.599609	10.198754
c5c5a76d-b586-419d-91fb-25e0b3547e59.fast5	c5c5a76d-b586-419d-91fb-25e0b3547e59	e3690464147f831e944be7d71be5c407b681cbb7	0	448	3	18655.350750	89.983250	71986	TRUE	18655.832000	71601	89.502000	49919	9.764574	0.000000	79.317329	10.234494	78.514343	10.501966
5f0229bb-8fac-4935-9fa9-5117aecb57fe.fast5	5f0229bb-8fac-4935-9fa9-5117aecb57fe	e3690464147f831e944be7d71be5c407b681cbb7	0	1937	2	18673.628750	28.977750	23182	TRUE	18673.691250	23132	28.915250	16348	11.667034	0.000000	77.124222	10.234494	76.695564	10.099642
1d0c3a82-1b45-4f34-b47f-1c7a9f41ae17.fast5	1d0c3a82-1b45-4f34-b47f-1c7a9f41ae17	e3690464147f831e944be7d71be5c407b681cbb7	0	1434	2	18626.645000	49.469750	39575	TRUE	18627.101250	39210	49.013500	26416	10.131861	0.000000	76.393188	9.868977	75.506493	9.750745
f4d2b170-3e38-48b4-86b7-a349fa1611b9.fast5	f4d2b170-3e38-48b4-86b7-a349fa1611b9	e3690464147f831e944be7d71be5c407b681cbb7	0	2618	3	18599.963500	89.286000	71428	TRUE	18600.046000	71362	89.203500	45164	12.377036	0.000000	82.606987	10.600012	80.062904	10.099642
e093ba7e-13c0-4791-80eb-de495e3dc97b.fast5	e093ba7e-13c0-4791-80eb-de495e3dc97b	e3690464147f831e944be7d71be5c407b681cbb7	0	1839	1	18667.332250	37.976750	30381	TRUE	18667.403500	30324	37.905500	21830	9.983660	0.000000	80.779396	9.868977	77.599609	10.920318
28c30e3d-787e-4566-97d0-520bbc5c80a9.fast5	28c30e3d-787e-4566-97d0-520bbc5c80a9	e3690464147f831e944be7d71be5c407b681cbb7	0	835	3	18604.062500	57.255250	45804	TRUE	18604.092500	45780	57.225250	34554	10.343918	0.000000	82.241470	10.234494	80.690842	9.981977
26038f04-84f2-4c93-a05d-3461b7a1174a.fast5	26038f04-84f2-4c93-a05d-3461b7a1174a	e3690464147f831e944be7d71be5c407b681cbb7	0	2032	4	18716.661000	25.574250	20459	TRUE	18716.661000	20459	25.574250	13606	9.471128	0.000000	78.220779	9.868977	77.599609	10.298841
342fe0ef-09f0-4349-9690-a231e757c8b4.fast5	342fe0ef-09f0-4349-9690-a231e757c8b4	e3690464147f831e944be7d71be5c407b681cbb7	0	1552	3	18645.915500	70.907500	56726	TRUE	18645.991750	56665	70.831250	38043	11.869728	0.000000	80.779396	10.234494	79.439850	10.318974
0a8a8b46-3c69-4b17-93da-1978935320d9.fast5	0a8a8b46-3c69-4b17-93da-1978935320d9	e3690464147f831e944be7d71be5c407b681cbb7	0	364	2	18716.418750	19.162500	15330	TRUE	18716.516250	15252	19.065000	10323	11.694115	0.000000	77.489738	10.965529	79.130135	11.049043
2625faef-4f83-4722-8960-123fc531cdb7.fast5	2625faef-4f83-4722-8960-123fc531cdb7	e3690464147f831e944be7d71be5c407b681cbb7	0	2412	4	18685.189750	59.931250	47945	TRUE	18685.538500	47666	59.582500	30891	12.432656	0.000000	78.220779	10.234494	76.098694	10.379615
42c4dd2d-0f5e-46fc-9927-422a7513f401.fast5	42c4dd2d-0f5e-46fc-9927-422a7513f401	e3690464147f831e944be7d71be5c407b681cbb7	0	2272	2	18672.901500	18.045250	14436	TRUE	18673.035250	14329	17.911500	9834	10.803552	0.000000	76.027672	9.868977	75.506493	9.712731
a7ea46cd-cf3f-4f08-9ad5-ce88e78acb93.fast5	a7ea46cd-cf3f-4f08-9ad5-ce88e78acb93	e3690464147f831e944be7d71be5c407b681cbb7	0	1065	1	18675.265750	30.002000	24001	TRUE	18675.308250	23967	29.959500	16219	12.019673	0.000000	81.510437	10.600012	81.006638	10.709099
a418750b-d5d8-4758-9ef9-d4fb2dfa8c73.fast5	a418750b-d5d8-4758-9ef9-d4fb2dfa8c73	e3690464147f831e944be7d71be5c407b681cbb7	0	1213	2	18649.130000	64.496250	51597	TRUE	18649.703750	51138	63.922500	36642	11.285892	0.000000	75.662155	10.234494	75.212135	9.884972
a78c025e-cb0b-4664-afa2-9fd1086c8a37.fast5	a78c025e-cb0b-4664-afa2-9fd1086c8a37	e3690464147f831e944be7d71be5c407b681cbb7	0	348	2	18700.587000	26.278750	21023	TRUE	18700.749500	20893	26.116250	13834	11.012263	0.000000	79.682846	9.868977	77.903336	10.584335
a338605c-dd6e-479e-9430-01ffae9db028.fast5	a338605c-dd6e-479e-9430-01ffae9db028	e3690464147f831e944be7d71be5c407b681cbb7	0	898	2	18601.329750	67.276000	53820	TRUE	18601.357250	53798	67.248500	36650	8.575191	0.000000	72.006973	8.772424	71.488106	9.637146
4bf94332-8dcb-43f3-9767-ad851c531631.fast5	4bf94332-8dcb-43f3-9767-ad851c531631	e3690464147f831e944be7d71be5c407b681cbb7	0	1639	2	18634.159250	31.171750	24937	TRUE	18634.203000	24902	31.128000	16335	12.769741	0.000000	78.220779	10.234494	77.297089	9.865685
2ea54123-a917-4283-bc04-f9d1a586ad96.fast5	2ea54123-a917-4283-bc04-f9d1a586ad96	e3690464147f831e944be7d71be5c407b681cbb7	0	1166	3	18705.724750	13.415500	10732	TRUE	18705.972250	10534	13.168000	7076	11.026797	0.000000	74.200081	9.137941	72.330788	9.469224
12f6795a-3932-4d84-9534-d6dc69c0c865.fast5	12f6795a-3932-4d84-9534-d6dc69c0c865	e3690464147f831e944be7d71be5c407b681cbb7	0	2608	2	18671.559250	74.767250	59813	TRUE	18671.620500	59764	74.706000	41700	9.037847	0.000000	77.489738	9.868977	72.048813	10.339149
ef815b9e-2465-4b8e-bb76-57406746efff.fast5	ef815b9e-2465-4b8e-bb76-57406746efff	e3690464147f831e944be7d71be5c407b681cbb7	0	2541	2	18520.691750	155.317500	124254	TRUE	18520.804250	124164	155.205000	87610	10.845178	0.000000	77.124222	10.234494	77.599609	10.563682
b9b478d4-09da-4079-becf-5e0d64b2dce8.fast5	b9b478d4-09da-4079-becf-5e0d64b2dce8	e3690464147f831e944be7d71be5c407b681cbb7	0	2278	3	18719.970750	20.178750	16143	TRUE	18720.032000	16094	20.117500	10091	11.355286	0.000000	77.124222	9.868977	77.297089	10.379615
89404cf6-b6b5-46f8-af37-7eb95bdc6219.fast5	89404cf6-b6b5-46f8-af37-7eb95bdc6219	e3690464147f831e944be7d71be5c407b681cbb7	0	729	1	18626.995000	63.860750	51088	TRUE	18627.028750	51061	63.827000	36160	8.846535	0.000000	78.586296	10.600012	76.396545	10.584335
e8a74d44-7e9c-4f7f-aed9-4c9405534c80.fast5	e8a74d44-7e9c-4f7f-aed9-4c9405534c80	e3690464147f831e944be7d71be5c407b681cbb7	0	1436	3	18701.175000	19.611250	15689	TRUE	18701.360000	15541	19.426250	10230	11.545007	0.000000	73.834564	9.868977	72.898087	9.231821
